,Unnamed: 0,Timestamp,Age,Gender,Income, Occupation,Fav_Pub,WTS,Freq,Prim_Imp,Sec_Imp,Stratum,Lifestyle,Occasions
0,0,2017/02/25 10:52:03 PM GMT+4,19.0,Male,100000.0,Student,Station,2000.0,Several times in a month,Environment,Menu,Capital,Nightlife,Hang outs with friends
1,1,2017/02/25 10:53:19 PM GMT+4,19.0,Female,50000.0,Student,Calumet,2000.0,rarely (once two week/or a month),Music,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
2,2,"2017/02/25 10:54:05 PM GMT+4,20,Male,100000,Student,Liberty,3000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
3,3,2017/02/25 10:55:09 PM GMT+4,18.0,Male,0.0,Student,Calumet,3000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
4,4,2017/02/25 10:55:38 PM GMT+4,19.0,Female,130000.0,Student + working,Liberty,10000.0,rarely (once two week/or a month),Pricing,Environment,Capital,,Hang outs with friends
5,5,2017/02/25 10:55:39 PM GMT+4,19.0,Male,90000.0,Student,Station,2000.0,Several times a week,Environment,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
6,6,2017/02/25 10:55:41 PM GMT+4,18.0,Female,0.0,Student,Irish,1000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
7,7,"2017/02/25 10:55:45 PM GMT+4,19,Female,0,Student,Station,2000,Several times in a month,Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
8,8,2017/02/25 10:56:17 PM GMT+4,19.0,Male,80000.0,Student + working,I don't like pubs,10000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
9,9,2017/02/25 10:56:45 PM GMT+4,19.0,Male,150000.0,Student,Irish,3000.0,Several times in a month,Environment,Music,Capital,Nightlife,Hang outs with friends
10,10,2017/02/25 10:56:52 PM GMT+4,20.0,Female,80000.0,Student,I don't like pubs,3000.0,rarely (once two week/or a month),Environment,Menu,Capital,Art,Special events/parties
11,11,2017/02/25 10:56:56 PM GMT+4,18.0,Male,90000.0,Student,Venue,0.0,rarely (once two week/or a month),Environment,Music,Capital,Sport,Hang outs with friends
12,12,2017/02/25 10:57:00 PM GMT+4,18.0,Female,0.0,Student,Calumet,2000.0,Several times a week,Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
13,13,2017/02/25 10:57:58 PM GMT+4,19.0,Male,200000.0,Working,VOID,5000.0,Several times in a month,Environment,Pricing,Capital,Nightlife,Special events/parties
14,14,2017/02/25 10:58:12 PM GMT+4,19.0,Male,120000.0,Student,DAS,2000.0,Several times in a month,Environment,Pricing,Urban,Art,Hang outs with friends
15,15,2017/02/25 10:58:19 PM GMT+4,17.0,Female,30000.0,Student,Station,5000.0,Several times in a month,Music,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
16,16,2017/02/25 10:59:18 PM GMT+4,18.0,Male,0.0,Student,Station,2000.0,Several times in a month,Environment,Music,Capital,Sport,Hang outs with friends
17,17,"2017/02/25 10:59:25 PM GMT+4,19,Female,50000,Student,I don't like pubs,8000,rarely (once two week/or a month),Environment,Music,Rural,""Sport, art, traveling"",Birthdays",,,,,,,,,,,,
18,18,2017/02/25 10:59:28 PM GMT+4,17.0,Female,0.0,Student,37 pub,5000.0,rarely (once two week/or a month),Environment,Pricing,Urban,Art,Hang outs with friends
19,19,2017/02/25 10:59:52 PM GMT+4,19.0,Female,200000.0,Student + working,I don't like pubs,2000.0,rarely (once two week/or a month),Environment,Music,Urban,Adventure/traveling/exploring,Birthdays
20,20,"2017/02/25 10:59:59 PM GMT+4,17,Male,0,Student,37 pub,7000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
21,21,2017/02/25 11:01:22 PM GMT+4,19.0,Male,0.0,Student,Venue ,10000.0,Several times a week,Environment,Music,Capital,Nightlife,Hang outs with friends
22,22,2017/02/25 11:02:07 PM GMT+4,21.0,Male,130000.0,Student,37 pub,2000.0,rarely (once two week/or a month),Environment,Pricing,Urban,Sport,Hang outs with friends
23,23,2017/02/25 11:02:13 PM GMT+4,18.0,Male,100000.0,Student + working,Irish,3000.0,Several times in a month,Environment,Menu,Capital,,Hang outs with friends
24,24,2017/02/25 11:02:28 PM GMT+4,18.0,Female,50000.0,Student,Cantaloupe,2000.0,rarely (once two week/or a month),Music,Environment,Capital,Adventure/traveling/exploring,Hang outs with friends
25,25,2017/02/25 11:05:04 PM GMT+4,18.0,Female,40000.0,Student,Irish,2000.0,Several times in a month,Menu,Pricing,Capital,Art,Hang outs with friends
26,26,"2017/02/25 11:05:10 PM GMT+4,20,Female,100000,Student,Cantaloupe,2000,Several times in a month,Environment,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
27,27,2017/02/25 11:05:29 PM GMT+4,18.0,Female,80000.0,Student,Irish,5000.0,rarely (once two week/or a month),Environment,Menu,Capital,Adventure/traveling/exploring,Hang outs with friends
28,28,2017/02/25 11:05:32 PM GMT+4,18.0,Male,25000.0,Student,Station,3500.0,rarely (once two week/or a month),Menu,Music,Urban,Adventure/traveling/exploring,Special events/parties
29,29,2017/02/25 11:06:08 PM GMT+4,20.0,Male,60000.0,Student,Cantaloupe,20000.0,rarely (once two week/or a month),Environment,Music,Capital,Art,Hang outs with friends
30,30,2017/02/25 11:07:07 PM GMT+4,18.0,Female,0.0,Student,,1500.0,Several times in a month,Environment,Menu,Capital,,Hang outs with friends
31,31,2017/02/25 11:07:08 PM GMT+4,19.0,Female,0.0,Student,Calumet,4000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Art,Hang outs with friends
32,32,2017/02/25 11:07:24 PM GMT+4,17.0,Male,0.0,Student,Calumet,5000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Art,Hang outs with friends
33,33,2017/02/25 11:07:41 PM GMT+4,21.0,Female,80000.0,Student,Calumet,5000.0,rarely (once two week/or a month),Environment,Music,Urban,Art,Special events/parties
34,34,2017/02/25 11:08:12 PM GMT+4,19.0,Male,80000.0,Student,Liberty,5000.0,rarely (once two week/or a month),Environment,Music,Urban,Sport,Hang outs with friends
35,35,"2017/02/25 11:08:21 PM GMT+4,18,Male,0,Student,Tom Collins ,8000,Several times in a month,Environment,Music,Capital,""Rock, punk"",Hang outs with friends",,,,,,,,,,,,
36,36,2017/02/25 11:11:49 PM GMT+4,19.0,Female,25000.0,Student,Calumet,4000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
37,37,2017/02/25 11:11:59 PM GMT+4,18.0,Male,50000.0,Student,Bulldog,7000.0,Several times a week,Environment,Music,Capital,,Hang outs with friends
38,38,2017/02/25 11:12:19 PM GMT+4,19.0,Male,55000.0,Student,Station,2000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
39,39,2017/02/25 11:13:27 PM GMT+4,21.0,Female,0.0,Student,Calumet,2000.0,rarely (once two week/or a month),Environment,Pricing,Capital,Adventure/traveling/exploring,Special events/parties
40,40,2017/02/25 11:14:24 PM GMT+4,19.0,Male,150000.0,Student,Station,5000.0,Several times in a month,Environment,Menu,Capital,Student,Hang outs with friends
41,41,2017/02/25 11:15:00 PM GMT+4,18.0,Female,0.0,Student,Calumet,3000.0,Several times a week,Environment,Music,Capital,Adventure/traveling/exploring,Hang outs with friends
42,42,2017/02/25 11:15:13 PM GMT+4,20.0,Male,200000.0,Student,,2000.0,rarely (once two week/or a month),Environment,Pricing,Urban,Sport,Special events/parties
43,43,2017/02/25 11:16:25 PM GMT+4,21.0,Female,30000.0,Student,Calumet,5000.0,Several times in a month,Environment,Music,Capital,Art,Hang outs with friends
44,44,"2017/02/25 11:20:22 PM GMT+4,41,Female,100000,Working,Calumet,10000,rarely (once two week/or a month),Music,Environment,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
45,45,2017/02/25 11:22:14 PM GMT+4,20.0,Female,100000.0,Student + working,I don't like pubs,2000.0,rarely (once two week/or a month),Environment,Menu,Capital,Adventure/traveling/exploring,Birthdays
46,46,2017/02/25 11:26:22 PM GMT+4,17.0,Male,0.0,Student,Station,3000.0,rarely (once two week/or a month),Environment,Pricing,Capital,,Hang outs with friends
47,47,"2017/02/25 11:26:42 PM GMT+4,16,Male,200000,CEO,Station,25000,rarely (once two week/or a month),Music,Environment,Capital,""Business, sports, dance"",Hang outs with friends",,,,,,,,,,,,
48,48,2017/02/25 11:26:46 PM GMT+4,19.0,Female,0.0,Student,Irish,7000.0,rarely (once two week/or a month),Environment,Music,Capital,Sport,Birthdays
49,49,2017/02/25 11:27:05 PM GMT+4,18.0,Female,10000.0,Student,Calumet,1000.0,Several times a week,Environment,Music,Capital,,Hang outs with friends
50,50,2017/02/25 11:31:04 PM GMT+4,18.0,Female,30000.0,Student,Pepper,2000.0,rarely (once two week/or a month),Environment,Menu,Capital,Adventure/traveling/exploring,Special events/parties
51,51,2017/02/25 11:36:22 PM GMT+4,19.0,Female,300000.0,Student,Venue,5000.0,Several times in a month,Music,Pricing,Capital,Adventure/traveling/exploring,Hang outs with friends
52,52,"2017/02/25 11:44:55 PM GMT+4,17,Female,80000,Student,Pepper,1000,rarely (once two week/or a month),Music,Environment,Urban,""Rock, punk"",Hang outs with friends",,,,,,,,,,,,
53,53,2017/02/25 11:46:19 PM GMT+4,19.0,Female,70000.0,Student,Venue,2000.0,rarely (once two week/or a month),Environment,Music,Capital,Adventure/traveling/exploring,Birthdays
54,54,2017/02/25 11:46:22 PM GMT+4,19.0,Male,90000.0,Working,Irish,5000.0,Several times in a month,Environment,Menu,Urban,Sport,Hang outs with friends
55,55,2017/02/25 11:53:13 PM GMT+4,18.0,Female,70000.0,Student,Cantaloupe,3000.0,Several times in a month,Menu,Environment,Capital,Art,Hang outs with friends
56,56,2017/02/25 11:55:07 PM GMT+4,21.0,Female,30000.0,Student,Eden,3000.0,Several times in a month,Music,Menu,Capital,Art,Hang outs with friends
57,57,2017/02/25 11:58:45 PM GMT+4,20.0,Female,0.0,Student,I don't like pubs,1000.0,rarely (once two week/or a month),Environment,Music,Capital,Passive ,Special events/parties
58,58,"2017/02/26 12:06:19 AM GMT+4,20,Male,60000,Student,I don't like pubs,4000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
59,59,"2017/02/26 12:16:46 AM GMT+4,20,Female,70000,Student + working,Liberty ,2500,Several times in a month,Music,Menu,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
60,60,"2017/02/26 12:23:24 AM GMT+4,20,Female,70000,Student,I don't like pubs,5000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Birthdays",,,,,,,,,,,,
61,61,"2017/02/26 12:24:05 AM GMT+4,18,Female,75000,Student + working,Calumet,2000,rarely (once two week/or a month),Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
62,62,"2017/02/26 12:24:51 AM GMT+4,19,Male,25000,Student,Venue,3000,rarely (once two week/or a month),Environment,Pricing,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
63,63,2017/02/26 12:27:57 AM GMT+4,18.0,Female,30000.0,Student,Hemingway,1500.0,rarely (once two week/or a month),Pricing,Music,Capital,Art,Special events/parties
64,64,2017/02/26 12:30:32 AM GMT+4,19.0,Female,0.0,Student,Void,7000.0,rarely (once two week/or a month),Environment,Pricing,Urban,Adventure/traveling/exploring,Birthdays
65,65,2017/02/26 12:32:34 AM GMT+4,18.0,Female,50000.0,Student,I have none,0.0,rarely (once two week/or a month),Environment,Music,Capital,Art,Never
66,66,"2017/02/26 12:35:13 AM GMT+4,20,Male,0,Student,Calumet,7000,Several times in a month,Environment,Music,Capital,""Busy(student life, work)"",Hang outs with friends",,,,,,,,,,,,
67,67,"2017/02/26 12:38:48 AM GMT+4,21,Male,200000,Student + working,I don't like pubs,0,rarely (once two week/or a month),Environment,Music,Urban,""Busy(student life, work)"",Never",,,,,,,,,,,,
